titulo,autor,tono_original,tono_mujer,tempo,categoria,bpm,contenido
"Grande es tu fidelidad","Thomas Chisholm / Marcos Witt","G","B","media","Himno",120","    G
Grande es tu fidelidad,    C    oh Dios mi    G Padre
    D
No hay sombra de    G variación en    D Ti
    G
Tú no cambias, tu    C pasión no    G falla
    Am    Grande,    D grande es tu fideli    G dad

    C Grande es tu    G fidelidad
    C Grande es tu    G fidelidad
    Em Cada ma    Am ñana    D veo
    G Nuevas las    C misericor    G dias son
    Am Grande,    D grande es tu fideli    G dad"
"Digno de Adorar","Miel San Marcos","G","B","media","Alabanza",","    G
Angeles y santos
    A
Hoy se postrarán
    Em
Sus coronas traen

    D    G    A    D
Al cordero que venció y cantarán
Coro
    D
Eres digno de adorar

    A
Eres digno de adorar
    G
Todo viene de ti"
